zpid,addressStreet,unit,addressCity,addressState,addressZipcode,homeType,beds,baths,area,pgapt,price,homeStatus,priceForHDP,taxAssessedValue,zestimate,rentZestimate,daysOnZillow,isPreforeclosureAuction,brokerName,latitude,longitude,hasOpenHouse,openHouseStartDate,openHouseEndDate,builderName,is_newHome,StreetNumber,Street
37334951,15414 Manor House Ter,,Rockville,MD,20853,TOWNHOUSE,2.0,4.0,2070.0,ForSale,500000,FOR_SALE,500000,345200.0,501400.0,2340.0,1,False,"EXP Realty, LLC",39.10881,-77.078,,,,,,15414.0,Manor House Ter
97483084,613 Azalea Dr,,Rockville,MD,20850,TOWNHOUSE,2.0,3.0,1656.0,ForSale,415000,FOR_SALE,415000,325000.0,,,7,False,Compass,39.09456,-77.174,,,,,,613.0,Azalea Dr
37252654,10010 Vanderbilt Cir #129,# 129,Rockville,MD,20850,CONDO,3.0,2.0,1486.0,ForSale,395000,FOR_SALE,395000,305000.0,406500.0,2870.0,1,False,Keller Williams Integrity,39.10985,-77.20939,True,2023-09-24 13:00:00,2023-09-24 15:00:00,,,10010.0,Vanderbilt Cir
97460406,623 Azalea Dr APT 1,Apt 1,Rockville,MD,20850,CONDO,1.0,1.0,1150.0,ForSale,199998,FOR_SALE,199998,170000.0,205200.0,1976.0,11,False,"Long & Foster Real Estate, Inc.",39.09439,-77.174515,,,,,,623.0,Azalea Dr
166622926,16662 Crabbs Branch Way,,Rockville,MD,20855,TOWNHOUSE,3.0,3.0,1524.0,ForSale,473201,FOR_SALE,473201,200000.0,466900.0,3128.0,36,False,KW Metro Center,39.12459,-77.16459,True,2023-09-22 12:00:00,2023-09-22 16:00:00,Lennar,True,16662.0,Crabbs Branch Way
37111421,800 Twin Oaks Dr,,Potomac,MD,20854,SINGLE_FAMILY,5.0,4.0,2656.0,ForSale,980000,FOR_SALE,980000,692400.0,1012500.0,4535.0,12,False,Taylor Properties,39.06341,-77.16127,,,,,,800.0,Twin Oaks Dr
37118303,12252 Tildenwood Dr,,Rockville,MD,20852,TOWNHOUSE,3.0,4.0,2372.0,ForSale,699900,FOR_SALE,699900,646500.0,700800.0,3256.0,3,False,Evergreen Properties,39.05745,-77.13602,,,,,,12252.0,Tildenwood Dr
97464813,235 King Farm Blvd #235,# 235,Rockville,MD,20850,TOWNHOUSE,3.0,2.0,1801.0,ForSale,499900,FOR_SALE,499900,380000.0,491200.0,3249.0,62,False,"Long & Foster Real Estate, Inc.",39.11586,-77.171,,,,,,235.0,King Farm Blvd
64984111,501 King Farm Blvd APT 103,Apt 103,Rockville,MD,20850,CONDO,2.0,2.0,1345.0,ForSale,435000,FOR_SALE,435000,360000.0,439900.0,2342.0,8,False,Compass,39.11244,-77.17549,True,2023-09-24 13:00:00,2023-09-24 15:00:00,,,501.0,King Farm Blvd
37106172,2 Rosanne Ln,,Rockville,MD,20851,SINGLE_FAMILY,4.0,2.0,1204.0,ComingSoon,585000,FOR_SALE,585000,346000.0,502000.0,2914.0,3,False,America's Choice Realty,39.07619,-77.11235,,,,,,2.0,Rosanne Ln
37117806,33 Ritchfield Ct,,Rockville,MD,20850,TOWNHOUSE,2.0,4.0,1920.0,ForSale,575000,FOR_SALE,575000,476100.0,615700.0,3058.0,5,False,Boyle & Kahoe Real Estate,39.07986,-77.18263,,,,,,33.0,Ritchfield Ct
37094467,9601 Overlea Dr,,Rockville,MD,20850,SINGLE_FAMILY,4.0,3.0,2264.0,ForSale,1074500,FOR_SALE,1074500,760600.0,1045100.0,3949.0,16,False,"Long & Foster Real Estate, Inc.",39.0621,-77.19777,True,2023-09-24 13:00:00,2023-09-24 16:00:00,,,9601.0,Overlea Dr
