,hdpData.homeInfo.zpid,addressStreet,hdpData.homeInfo.unit,addressCity,addressState,addressZipcode,hdpData.homeInfo.homeType,beds,baths,area,pgapt,hdpData.homeInfo.price,hdpData.homeInfo.homeStatus,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.taxAssessedValue,zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isPreforeclosureAuction,brokerName,latLong.latitude,latLong.longitude,hasOpenHouse,openHouseStartDate,openHouseEndDate,builderName,hdpData.homeInfo.listing_sub_type.is_newHome
0,97483084,613 Azalea Dr,,Rockville,MD,20850,TOWNHOUSE,2,3,1656,ForSale,415000,FOR_SALE,415000,325000.0,,,6,False,Compass,39.09456,-77.174,,,,,
1,37320281,14200 Woodcrest Dr,,Rockville,MD,20853,SINGLE_FAMILY,4,3,2489,ForSale,655000,FOR_SALE,655000,420800.0,,,21,False,"Weichert, REALTORS",39.09022,-77.09988,,,,,
2,97460406,623 Azalea Dr APT 1,Apt 1,Rockville,MD,20850,CONDO,1,1,1150,ForSale,199998,FOR_SALE,199998,170000.0,205200.0,1976.0,10,False,"Long & Foster Real Estate, Inc.",39.09439,-77.174515,,,,,
3,166622926,16662 Crabbs Branch Way,,Rockville,MD,20855,TOWNHOUSE,3,3,1524,ForSale,473201,FOR_SALE,473201,200000.0,466900.0,3128.0,35,False,KW Metro Center,39.12459,-77.16459,True,2023-09-20T12:00:00,2023-09-20T16:00:00,Lennar,True
4,37111421,800 Twin Oaks Dr,,Potomac,MD,20854,SINGLE_FAMILY,5,4,2656,ForSale,980000,FOR_SALE,980000,692400.0,970100.0,4535.0,11,False,Taylor Properties,39.06341,-77.16127,,,,,
5,37118303,12252 Tildenwood Dr,,Rockville,MD,20852,TOWNHOUSE,3,4,2372,ForSale,699900,FOR_SALE,699900,646500.0,700800.0,3200.0,2,False,Evergreen Properties,39.05745,-77.13602,,,,,
6,97464813,235 King Farm Blvd #235,# 235,Rockville,MD,20850,TOWNHOUSE,3,2,1801,ForSale,499900,FOR_SALE,499900,380000.0,491200.0,3249.0,61,False,"Long & Foster Real Estate, Inc.",39.11586,-77.171,,,,,
7,64984111,501 King Farm Blvd APT 103,Apt 103,Rockville,MD,20850,CONDO,2,2,1345,ForSale,435000,FOR_SALE,435000,360000.0,439900.0,2342.0,7,False,Compass,39.11244,-77.17549,True,2023-09-24T13:00:00,2023-09-24T15:00:00,,
8,37106172,2 Rosanne Ln,,Rockville,MD,20851,SINGLE_FAMILY,4,2,1204,ComingSoon,585000,FOR_SALE,585000,346000.0,502000.0,2914.0,2,False,America's Choice Realty,39.07619,-77.11235,,,,,
9,37111186,1411 Fallswood Dr,,Rockville,MD,20854,SINGLE_FAMILY,4,3,2472,ForSale,899900,FOR_SALE,899900,620600.0,902600.0,3499.0,5,False,"Long & Foster Real Estate, Inc.",39.07835,-77.17264,,,,,
10,37117806,33 Ritchfield Ct,,Rockville,MD,20850,TOWNHOUSE,2,4,1920,ForSale,575000,FOR_SALE,575000,476100.0,576500.0,3140.0,4,False,Boyle & Kahoe Real Estate,39.07986,-77.18263,,,,,
11,37094467,9601 Overlea Dr,,Rockville,MD,20850,SINGLE_FAMILY,4,3,2264,ForSale,1074500,FOR_SALE,1074500,760600.0,1049900.0,4125.0,15,False,"Long & Foster Real Estate, Inc.",39.0621,-77.19777,,,,,
12,37316871,12804 Weiss St,,Rockville,MD,20853,SINGLE_FAMILY,3,3,1311,ComingSoon,420000,FOR_SALE,420000,313300.0,462600.0,2995.0,6,False,"RE/MAX Realty Centre, Inc.",39.06559,-77.09357,,,,,
13,37105657,1617 Marshall Ave,,Rockville,MD,20851,SINGLE_FAMILY,4,2,1287,ComingSoon,518000,FOR_SALE,518000,402700.0,522100.0,2900.0,2,False,Compass,39.07934,-77.11938,,,,,
14,37202763,4904 Morning Glory Ct,,Rockville,MD,20853,SINGLE_FAMILY,4,4,3972,ForSale,1049000,FOR_SALE,1049000,680700.0,918000.0,3954.0,181,False,The Agency DC,39.10374,-77.09948,,,,,
